Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 31.05      0.68     0.68    80528     0.01     0.01  Frame::calculateCost(std::vector<cv::Mat, std::allocator<cv::Mat> > const&)
 21.46      1.15     0.47                             _init
 11.87      1.41     0.26 14604852     0.00     0.00  Spheroid::draw(cv::Mat&, SimulationConfig, cv::Mat*, float) const
 11.87      1.67     0.26    40264     0.01     0.01  Frame::generateSynthFrameFast(Spheroid&, Spheroid&)
  3.65      1.75     0.08    41606     0.00     0.00  Spheroid::checkIfCellsOverlap(std::vector<Spheroid, std::allocator<Spheroid> > const&)
  3.20      1.82     0.07   335292     0.00     0.00  PerturbParams::getPerturbOffset() const
  2.28      1.87     0.05   201320     0.00     0.00  std::_Function_handler<void (bool), Frame::perturb()::{lambda(bool)#2}>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
  2.28      1.92     0.05   166424     0.00     0.00  void std::vector<std::vector<float, std::allocator<float> >, std::allocator<std::vector<float, std::allocator<float> > > >::_M_realloc_insert<std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<std::vector<float, std::allocator<float> >*, std::vector<std::vector<float, std::allocator<float> >, std::allocator<std::vector<float, std::allocator<float> > > > >, std::vector<float, std::allocator<float> >&&)
  1.83      1.96     0.04    41606     0.00     0.04  Frame::perturb()
  1.83      2.00     0.04       20     2.00    85.37  Lineage::optimize(int)
  0.91      2.02     0.02  1240128     0.00     0.00  void std::vector<float, std::allocator<float> >::_M_realloc_insert<float const&>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float const&)
  0.91      2.04     0.02    42000     0.00     0.00  std::_Function_handler<void (bool), Frame::split()::{lambda(bool)#3}>::_M_invoke(std::_Any_data const&, bool&&)
  0.91      2.06     0.02    42000     0.00     0.00  std::discrete_distribution<int>::param_type::_M_initialize()
  0.91      2.08     0.02    41606     0.00     0.00  Spheroid::getPerturbedCell() const
  0.91      2.10     0.02    40264     0.00     0.00  std::_Function_handler<void (bool), Frame::perturb()::{lambda(bool)#2}>::_M_invoke(std::_Any_data const&, bool&&)
  0.91      2.12     0.02    40264     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::reserve(unsigned long)
  0.46      2.13     0.01  1164968     0.00     0.00  void std::vector<float, std::allocator<float> >::_M_realloc_insert<float>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float&&)
  0.46      2.14     0.01   332848     0.00     0.00  void std::vector<std::vector<float, std::allocator<float> >, std::allocator<std::vector<float, std::allocator<float> > > >::_M_realloc_insert<std::vector<float, std::allocator<float> > const&>(__gnu_cxx::__normal_iterator<std::vector<float, std::allocator<float> >*, std::vector<std::vector<float, std::allocator<float> >, std::allocator<std::vector<float, std::allocator<float> > > > >, std::vector<float, std::allocator<float> > const&)
  0.46      2.15     0.01   219276     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::vector<Spheroid, std::allocator<Spheroid> > >, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::vector<Spheroid, std::allocator<Spheroid> > > >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::vector<Spheroid, std::allocator<Spheroid> > > > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::vector<Spheroid, std::allocator<Spheroid> > > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.46      2.16     0.01    80922     0.00     0.00  Spheroid::calculateCorners() const
  0.46      2.17     0.01    40264     0.00     0.00  Spheroid::calculateMinimumBox(Spheroid&) const
  0.46      2.18     0.01     3875     0.00     0.00  void std::vector<cv::Mat, std::allocator<cv::Mat> >::_M_realloc_insert<cv::Mat const&>(__gnu_cxx::__normal_iterator<cv::Mat*, std::vector<cv::Mat, std::allocator<cv::Mat> > >, cv::Mat const&)
  0.46      2.19     0.01       20     0.50     0.52  Frame::generateOutputSynthFrame()
  0.00      2.19     0.00    48459     0.00     0.00  void std::vector<cv::Point3_<double>, std::allocator<cv::Point3_<double> > >::_M_realloc_insert<cv::Point3_<double> >(__gnu_cxx::__normal_iterator<cv::Point3_<double>*, std::vector<cv::Point3_<double>, std::allocator<cv::Point3_<double> > > >, cv::Point3_<double>&&)
  0.00      2.19     0.00    27000     0.00     0.00  Spheroid::drawOutline(cv::Mat&, float, float) const
  0.00      2.19     0.00     4026     0.00     0.00  std::_Function_handler<void (bool), Frame::perturb()::{lambda(bool)#1}>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
  0.00      2.19     0.00     2619     0.00     0.00  YAML::Stream::peek() const
  0.00      2.19     0.00     2335     0.00     0.00  int YAML::RegEx::MatchUnchecked<YAML::StreamCharSource>(YAML::StreamCharSource const&) const
  0.00      2.19     0.00     1832     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand()
  0.00      2.19     0.00     1493     0.00     0.00  YAML::Stream::operator bool() const
  0.00      2.19     0.00     1432     0.00     0.00  void std::vector<std::vector<cv::Point3_<double>, std::allocator<cv::Point3_<double> > >, std::allocator<std::vector<cv::Point3_<double>, std::allocator<cv::Point3_<double> > > > >::_M_realloc_insert<std::vector<cv::Point3_<double>, std::allocator<cv::Point3_<double> > > const&>(__gnu_cxx::__normal_iterator<std::vector<cv::Point3_<double>, std::allocator<cv::Point3_<double> > >*, std::vector<std::vector<cv::Point3_<double>, std::allocator<cv::Point3_<double> > >, std::allocator<std::vector<cv::Point3_<double>, std::allocator<cv::Point3_<double> > > > > >, std::vector<cv::Point3_<double>, std::allocator<cv::Point3_<double> > > const&)
  0.00      2.19     0.00     1342     0.00     0.00  std::_Function_handler<void (bool), Frame::perturb()::{lambda(bool)#1}>::_M_invoke(std::_Any_data const&, bool&&)
  0.00      2.19     0.00     1279     0.00     0.00  YAML::Stream::GetNextByte() const
  0.00      2.19     0.00     1279     0.00     0.00  YAML::Stream::StreamInUtf8() const
  0.00      2.19     0.00     1279     0.00     0.00  YAML::Stream::_ReadAheadTo(unsigned long) const
  0.00      2.19     0.00     1278     0.00     0.00  YAML::Stream::AdvanceCurrent()
  0.00      2.19     0.00     1278     0.00     0.00  YAML::Stream::get()
  0.00      2.19     0.00     1182     0.00     0.00  std::_Function_handler<void (bool), Frame::split()::{lambda(bool)#1}>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
  0.00      2.19     0.00     1140     0.00     0.00  std::_Function_handler<void (bool), Frame::split()::{lambda(bool)#2}>::_M_invoke(std::_Any_data const&, bool&&)
  0.00      2.19     0.00     1015     0.00     0.00  YAML::Stream::eat(int)
  0.00      2.19     0.00      791     0.00     0.00  YAML::Scanner::EnsureTokensInQueue()
